area,floor,price,rooms,floors_total,year,latitude,longitude
71.0,5,9000000,2,5,1832,59.922237,30.35463
26.1,7,3750000,0,16,2003,60.03218199999999,30.401343
34.0,8,4300000,1,18,2010,59.859361,30.19182
41.8,2,4500000,1,20,2015,60.05105,30.425147999999997
76.7,2,13077500,1,10,2017,59.959233,30.272209999999998
88.3,6,8500000,3,7,1955,59.86837,30.25958
89.6,8,14150000,3,12,2016,59.918308999999994,30.369866
79.2,2,9399000,3,26,2012,60.074073999999996,30.329496000000002
92.0,16,8800000,3,16,2007,59.83909499999999,30.507613
36.0,18,4690000,1,21,2017,60.041098999999996,30.221608000000003
80.1,3,5800000,3,9,2013,59.740316,30.470323999999998
71.9,5,6150000,3,9,0,59.860771,30.505583
179.0,2,19880000,5,5,1858,59.920671999999996,30.341793
90.0,4,10990000,3,5,2017,59.756468999999996,30.370962
105.9,1,10000000,3,6,1917,59.947978000000006,30.341371000000002
50.0,4,8600000,2,6,1910,59.961566000000005,30.310935999999998
26.0,18,3150000,0,22,2014,60.052092,30.423710999999997
44.7,3,9500000,1,9,2015,59.923572,30.368347999999997
45.0,4,4600000,2,5,0,60.032097,30.345270000000003
71.4,11,7900000,3,12,1984,60.051885999999996,30.330556
77.0,7,17997000,2,9,2016,59.94079,30.383871000000003
80.0,2,11780000,3,5,1910,59.929596,30.245017999999998
112.0,3,38390000,2,10,2010,59.969304,30.287984
40.0,3,4950000,1,12,1990,59.98465600000001,30.269605
51.3,5,6750000,2,16,2006,59.843931999999995,30.389153000000004
41.6,3,5000000,1,18,2010,59.849070999999995,30.134328000000004
61.0,8,6115000,2,12,0,59.954232,30.469865999999996
42.0,3,9000000,1,5,1878,59.930029000000005,30.357065000000002
155.1,9,29546550,4,10,2017,59.959233,30.272209999999998
45.4,5,3600000,2,5,0,59.879728,30.465078000000002
100.5,14,8200000,3,16,2014,59.787093000000006,30.207423
135.3,6,32314471,3,8,2018,59.939767,30.353184000000002
150.0,18,26950000,4,25,2011,59.853812,30.349698999999998
